kab_kota,total_produksi,total_cabai,persen_cabai,total_jamur,kategori_produksi,tipe_wilayah,komoditas,produksi
Kota Pagar Alam,111987,NA,NA,NA,Tinggi,Kota,cabai_besar,NA
Kota Pagar Alam,111987,NA,NA,NA,Tinggi,Kota,cabai_keriting,9650
Kota Pagar Alam,111987,NA,NA,NA,Tinggi,Kota,jamur_tiram,1
Kota Pagar Alam,111987,NA,NA,NA,Tinggi,Kota,jamur_merang,NA
Kota Pagar Alam,111987,NA,NA,NA,Tinggi,Kota,jamur_lain,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,bawang_daun,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,bawang_merah,66
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,bawang_putih,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,bayam,177
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,buncis,24
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,cabai_rawit,75
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,kacang_panjang,203
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,kangkung,217
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,kembang_kol,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,kentang,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,ketimun,64
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,kubis,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,labu_siam,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,paprika,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,sawi,1
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,terung,402
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,tomat,96
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,wortel,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,cabai_besar,146
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,cabai_keriting,107
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,jamur_tiram,113
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,jamur_merang,NA
Kota Lubuklinggau,1691,328,19.4,NA,Rendah,Kota,jamur_lain,NA
